Country Name,User Population,Language Status,Other Comments,Language Development
Ireland,N/A,N/A,N/A,N/A
Afghanistan,"2,300,500 in Afghanistan, all users. L1 users: 500 in Afghanistan (2023 Joshua Project), based on ethnicity. L2 users: 2,300,000 (2022 World Factbook).",5* (Dispersed).,Non-indigenous.,N/A
Albania,"9,000 in Albania (2023 Joshua Project), based on ethnicity.",Unestablished.,Non-indigenous.,Taught as subject in secondary schools.
Algeria,"2,527,260 in Algeria, all users. L1 users: 7,260 in Algeria (2015 UNSD). L2 users: 2,520,000 (Ramaswami et al 2012).",4 (Educational).,Non-indigenous.,Taught as subject in secondary schools. Taught in some tertiary schools.
American Samoa,"42,240 in American Samoa, all users. L1 users: 1,440 in American Samoa (2024). L2 users: 40,800 (2024).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Andorra,"19,330 in Andorra, all users. L1 users: 1,430 in Andorra (2021 World Factbook). L2 users: 17,900 (2004 Institut d’Estudis Catalans).",5* (Dispersed).,Non-indigenous.,Taught as subject in most primary and secondary schools.
Anguilla,550 in Anguilla (2021). It is difficult to substantiate the number of Creole speakers and English speakers.,1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Antigua and Barbuda,"17,140 in Antigua and Barbuda, all users. L1 users: 14,200 in Antigua and Barbuda (2023). It is difficult to substantiate the number of Creole speakers and English speakers. L2 users: 2,940 (2023).",1 (National). De facto national language.,Non-indigenous.,Taught in all primary and secondary schools.
Argentina,"7,100,000 in Argentina, all users. L1 users: 100,000 in Argentina (1985 New York Times). L2 users: 7,000,000 (2020).",5* (Dispersed).,Non-indigenous. The British came to build the railroads in Argentina in the early 1800s.,N/A
Armenia,"144,000 in Armenia (2022 census), L2 users.",4 (Educational).,Non-indigenous.,Taught as subject in all secondary schools in grade 10 and 11. Taught at the American University of Armenia (AUA).
Aruba,"63,480 in Aruba, all users. L1 users: 7,880 in Aruba (2020 World Factbook). L2 users: 55,600 (2020).",3 (Wider communication). De facto national working language.,Non-indigenous.,Taught as subject in all primary and secondary schools.
